Tamaño,BlockSize,TiempoSegundos
16,2,0.000128069
16,4,0.000100811
16,8,9.6874e-05
16,16,8.9218e-05
32,2,0.00111729
32,4,0.000866661
32,8,0.000765079
32,16,0.000762999
32,32,0.000719193
64,2,0.00887204
64,4,0.0053364
64,8,0.00411638
64,16,0.00317624
64,32,0.00319609
64,64,0.00248367
128,2,0.0225448
128,4,0.0100697
128,8,0.00937761
128,16,0.0102545
128,32,0.0078291
128,64,0.00584913
128,128,0.00638311
256,2,0.0885021
256,4,0.0604908
256,8,0.0517702
256,16,0.0508747
256,32,0.0506843
256,64,0.0451275
256,128,0.0496312
256,256,0.047279
512,2,0.744639
512,4,0.51963
512,8,0.427595
512,16,0.383042
512,32,0.367727
512,64,0.356732
512,128,0.357138
512,256,0.356836
1024,2,6.14747
1024,4,4.15844
1024,8,3.80628
1024,16,2.96786
1024,32,3.06373
1024,64,3.04987
1024,128,3.03554
1024,256,3.27786
2048,2,55.7561
2048,4,35.7682
2048,8,27.8414
2048,16,24.928
2048,32,23.8422
2048,64,23.8278
2048,128,23.104
2048,256,21.8387
